student_id,student_name,attendance_status
1,Lionel Messi,PRESENT
2,Cristiano Ronaldo,PRESENT
3,Kylian Mbappe,ABSENT
4,Erling Haaland,ABSENT
5,Kevin De Bruyne,ABSENT
6,Neymar Jr,ABSENT
7,Luka Modric,ABSENT
8,Robert Lewandowski,ABSENT
9,Mohamed Salah,ABSENT
10,Virgil van Dijk,ABSENT
11,Sergio Ramos,ABSENT
12,Harry Kane,ABSENT
13,Karim Benzema,ABSENT
14,Andres Iniesta,ABSENT
15,Lamine Yamal,ABSENT
16,Sadio Mane,ABSENT
17,Antoine Griezmann,ABSENT
18,Vinicius Junior,ABSENT
19,Harry Maguire,ABSENT
20,Jude Bellingham,ABSENT
