date,student_id,student_name,attendance_status
11/21/2025,1,Lionel Messi,PRESENT
11/21/2025,2,Cristiano Ronaldo,PRESENT
11/21/2025,3,Kylian Mbappe,ABSENT
11/21/2025,4,Erling Haaland,PRESENT
11/21/2025,5,Kevin De Bruyne,PRESENT
11/21/2025,6,Neymar Jr,PRESENT
11/21/2025,7,Luka Modric,ABSENT
11/21/2025,8,Robert Lewandowski,PRESENT
11/21/2025,9,Mohamed Salah,PRESENT
11/21/2025,10,Virgil van Dijk,PRESENT
11/21/2025,11,Sergio Ramos,PRESENT
11/21/2025,12,Harry Kane,PRESENT
11/21/2025,13,Karim Benzema,PRESENT
11/21/2025,14,Andres Iniesta,PRESENT
11/21/2025,15,Lamine Yamal,PRESENT
11/21/2025,16,Sadio Mane,PRESENT
11/21/2025,17,Antoine Griezmann,PRESENT
11/21/2025,18,Vinicius Junior,PRESENT
11/21/2025,19,Harry Maguire,PRESENT
11/21/2025,20,Jude Bellingham,PRESENT
