date,student_id,student_name,attendance_status,creation_date
2025-11-23,1,Lionel Messi,PRESENT,2025-11-23
2025-11-23,2,Cristiano Ronaldo,PRESENT,2025-11-23
2025-11-23,3,Kylian Mbappe,PRESENT,2025-11-23
2025-11-23,4,Erling Haaland,PRESENT,2025-11-23
2025-11-23,5,Kevin De Bruyne,PRESENT,2025-11-23
2025-11-23,6,Neymar Jr,PRESENT,2025-11-23
2025-11-23,7,Luka Modric,PRESENT,2025-11-23
2025-11-23,8,Robert Lewandowski,PRESENT,2025-11-23
2025-11-23,9,Mohamed Salah,PRESENT,2025-11-23
2025-11-23,10,Virgil van Dijk,PRESENT,2025-11-23
2025-11-23,11,Sergio Ramos,PRESENT,2025-11-23
2025-11-23,12,Harry Kane,PRESENT,2025-11-23
2025-11-23,13,Karim Benzema,PRESENT,2025-11-23
2025-11-23,14,Andres Iniesta,PRESENT,2025-11-23
2025-11-23,15,Lamine Yamal,PRESENT,2025-11-23
2025-11-23,16,Sadio Mane,PRESENT,2025-11-23
2025-11-23,17,Antoine Griezmann,PRESENT,2025-11-23
2025-11-23,18,Vinicius Junior,PRESENT,2025-11-23
2025-11-23,19,Harry Maguire,PRESENT,2025-11-23
2025-11-23,20,Jude Bellingham,PRESENT,2025-11-23

