date,student_id,student_name,attendance_status,creation_date
2025-11-26,1,Lionel Messi,PRESENT,2025-11-26
2025-11-26,2,Cristiano Ronaldo,ABSENT,2025-11-26
2025-11-26,3,Kylian Mbappe,PRESENT,2025-11-26
2025-11-26,4,Erling Haaland,ABSENT,2025-11-26
2025-11-26,5,Kevin De Bruyne,ABSENT,2025-11-26
2025-11-26,6,Neymar Jr,ABSENT,2025-11-26
2025-11-26,7,Luka Modric,ABSENT,2025-11-26
2025-11-26,8,Robert Lewandowski,ABSENT,2025-11-26
2025-11-26,9,Mohamed Salah,ABSENT,2025-11-26
2025-11-26,10,Virgil van Dijk,ABSENT,2025-11-26
2025-11-26,11,Sergio Ramos,ABSENT,2025-11-26
2025-11-26,12,Harry Kane,ABSENT,2025-11-26
2025-11-26,13,Karim Benzema,ABSENT,2025-11-26
2025-11-26,14,Andres Iniesta,ABSENT,2025-11-26
2025-11-26,15,Lamine Yamal,ABSENT,2025-11-26
2025-11-26,16,Sadio Mane,ABSENT,2025-11-26
2025-11-26,17,Antoine Griezmann,ABSENT,2025-11-26
2025-11-26,18,Vinicius Junior,ABSENT,2025-11-26
2025-11-26,19,Harry Maguire,ABSENT,2025-11-26
2025-11-26,20,Jude Bellingham,ABSENT,2025-11-26
